SampleID for each row in the figure:
Row	1-layer-clusterID	SampleID
1	1	11860_4_36
2	1	11860_4_62
3	1	11860_4_95
4	1	11860_5_65
5	1	11860_6_95
6	1	11860_7_21
7	1	11860_8_6
8	1	11861_1_38
9	1	11861_1_74
10	1	11861_1_91
11	1	11861_2_37
12	1	11861_3_26
13	1	11861_3_60
14	1	11861_3_67
15	1	11861_3_83
16	1	11861_3_88
17	1	11861_4_12
18	1	11861_4_34
19	1	11861_4_39
20	1	11861_5_88
21	1	11893_1_22
22	1	11893_1_42
23	1	11893_1_62
24	1	12673_6_2
25	1	12673_6_45
26	1	11860_4_44
27	1	11860_5_47
28	1	11860_6_19
29	1	11860_7_12
30	1	11860_7_41
31	1	11860_7_50
32	1	11860_8_52
33	1	11861_1_49
34	1	11861_2_89
35	1	11861_3_77
36	1	11861_4_48
37	1	11893_1_41
38	1	11893_1_7
39	1	14412_3_65
40	1	11893_1_6
41	1	11860_5_40
42	1	11860_5_87
43	1	11860_6_73
44	1	11860_7_19
45	1	11860_7_25
46	1	11860_7_37
47	1	11860_7_46
48	1	11860_8_83
49	1	11860_8_86
50	1	11860_8_87
51	1	11861_4_72
52	1	11861_4_81
53	1	11861_5_57
54	1	11861_5_77
55	1	12673_6_6
56	2	11860_4_85
57	2	11860_5_18
58	2	11860_5_19
59	2	11860_7_18
60	2	11860_7_27
61	2	11860_7_42
62	2	11860_7_60
63	2	11860_7_95
64	2	11860_8_20
65	2	11860_8_40
66	2	11860_8_62
67	2	11861_1_41
68	2	11861_1_5
69	2	11861_2_20
70	2	11861_2_36
71	2	11861_2_74
72	2	11861_3_27
73	2	11861_3_34
74	2	11861_3_76
75	2	11861_3_94
76	2	11861_4_76
77	2	11861_5_55
78	2	11893_1_25
79	2	14412_3_17
80	2	11822_8_33
81	2	11860_4_1
82	2	11860_4_17
83	2	11860_4_21
84	2	11860_4_3
85	2	11860_4_47
86	2	11860_4_61
87	2	11860_4_90
88	2	11860_5_13
89	2	11860_5_30
90	2	11860_5_35
91	2	11860_5_64
92	2	11860_5_66
93	2	11860_5_81
94	2	11860_5_85
95	2	11860_5_86
96	2	11860_6_17
97	2	11860_6_4
98	2	11860_6_59
99	2	11860_6_64
100	2	11860_6_7
101	2	11860_6_74
102	2	11860_6_83
103	2	11860_6_88
104	2	11860_7_14
105	2	11860_7_30
106	2	11860_7_35
107	2	11860_7_5
108	2	11860_7_54
109	2	11860_7_61
110	2	11860_7_62
111	2	11860_7_74
112	2	11860_7_86
113	2	11860_8_11
114	2	11860_8_27
115	2	11860_8_33
116	2	11860_8_38
117	2	11860_8_47
118	2	11860_8_57
119	2	11860_8_58
120	2	11860_8_78
121	2	11860_8_92
122	2	11861_1_15
123	2	11861_1_20
124	2	11861_1_21
125	2	11861_1_22
126	2	11861_1_35
127	2	11861_1_37
128	2	11861_1_47
129	2	11861_1_52
130	2	11861_1_57
131	2	11861_1_59
132	2	11861_1_66
133	2	11861_1_69
134	2	11861_1_7
135	2	11861_1_72
136	2	11861_2_23
137	2	11861_2_26
138	2	11861_2_4
139	2	11861_2_56
140	2	11861_2_69
141	2	11861_2_71
142	2	11861_2_78
143	2	11861_2_80
144	2	11861_3_2
145	2	11861_3_33
146	2	11861_3_41
147	2	11861_3_46
148	2	11861_3_49
149	2	11861_3_50
150	2	11861_3_80
